,URL,ASIN,Title,Brand,Fulfillment,Category,BSR,Subcategory,Price,Price Trend (90 days) (%),Monthly Sales,Sales Trend (90 days) (%),Monthly Revenue,Review Count,Reviews Rating,Seller,Number of Active Sellers,Last Year Sales,Sales Year Over Year (%),Size Tier,Length,Width,Height,Weight,Storage Fee (Jan - Sep),Storage Fee (Oct - Dec),Best Sales Period,Age (Month),Number of Images,Variation Count,Sales to Reviews
45,https://amazon.com/dp/B0BHT1MLQK,B0BHT1MLQK,"Glass Soap Dispenser Set with Tray for Kitchen Sink, Hand and Dish Soap Dispenser with Stainless Steel Pump, Bathroom Soap Dispenser with 6 Waterproof Labels for Hand Soap, Dish Soapon, Lotion",Y&ME YM,FBA,Home & Kitchen,831710,Bath,29.99,45.0,12,-89.0,359.88,13.0,3.9,Y &Me,1,87.0,,Large Standard-Size,5.59,8.31,11.22,2.03,208.12,723.89,04/01/2023,6,7,2,0.92
46,https://amazon.com/dp/B0BCQ1BC9C,B0BCQ1BC9C,"ENODS Countertop Soap Dispensers Ceramic Hand-Drawing Soap Dispenser,Creative Shower Dispenser Soap Dish,Soap Pump,Toothbrush Holder Tumbler Bathroom 5 Piece Set Soap dispensers (Color : Brown)",ENODS,FBM,Home & Kitchen,7282760,Countertop Soap Dispensers,75.62,,0,0.0,0.0,,,KUNGKUNA,1,,,,,,,,,,-,8,7,3,
47,https://amazon.com/dp/B09MB88YHP,B09MB88YHP,"Crocon White Marble Soap Dispenser Refillable Dispenser for Liquid Soap Lotion Dispenser Bottle Golden Pump Dispenser for Kitchen & Bathroom Decor Countertop Accessory Set, Size - 2.7X2.7X7 Inch",Crocon,FBA,Home & Kitchen,1041011,Countertop Soap Dispensers,34.99,-7.0,1,-125.0,34.99,1.0,1.0,CROCON TECHNOLOGIES,1,32.0,,Large Standard-Size,3.86,3.9,7.68,2.31,46.17,160.58,03/01/2022,17,9,0,1.0
48,https://amazon.com/dp/B0BKWR3238,B0BKWR3238,"MZ Luxury Shampoo and Conditioner Dispenser. Large Capacity, Shower Dispenser, Soap Dispenser Bathroom Set. Shower soap Dispenser Wall Mounted That Includes Glue and Wall Mounting Hardware",MZ LUXURY,FBA,Home & Kitchen,501791,Shower Dispensers,34.99,-24.0,28,245.0,979.72,15.0,3.8,MZ Luxury,1,,,Large Standard-Size,4.29,10.08,12.48,3.04,215.5,749.55,02/01/2023,6,9,3,2.33
49,https://amazon.com/dp/B08Y5MKS8J,B08Y5MKS8J,Cute Animal Soap Dispenser Ceramic Bathroom Accessories Set 4 Pieces Four Piece Kids Bathroom Accessories Set Beach Style Design (Color : Soap Dispenser),Agal,FBM,Home & Kitchen,6987377,Countertop Soap Dispensers,74.22,,0,0.0,0.0,,,HAIHAILILI,1,,,,,,,,,,06/01/2021,27,7,4,
50,https://amazon.com/dp/B0B18JTR1W,B0B18JTR1W,"KSITEX Soap Dispenser Bathroom, Shampoo Dispenser for Shower Wall, Body Wash Dispenser Set 3 Chamber White",KSITEX,FBA,Home & Kitchen,319172,Shower Dispensers,29.99,,46,-56.0,1379.54,112.0,3.7,KSITEX-US-SHOP,1,,,Large Standard-Size,3.11,9.02,10.08,2.05,112.91,392.73,10/01/2022,10,7,12,0.41
51,https://amazon.com/dp/B09HS9P3NK,B09HS9P3NK,DTSE9 Lotion Dispensers 5-Pieces Bathroom Accessory Set Geometric Elephant Soap Dispenser Ceramic Lotion Dispenser/Toothbrush Holder/Tumbler Soap Pump Dispenser ( Color : 5-piece bathroom set D ),DTSE9,FBM,Home & Kitchen,8326035,Bathroom Accessory Sets,136.2,,0,0.0,0.0,,,BOTBOT,1,,,,,,,,,,-,19,7,5,
52,https://amazon.com/dp/B0BBKRB8L4,B0BBKRB8L4,Wall Mounted Soap Dispenser Set with Bamboo Tray,Satu Brown,FBA,Home & Kitchen,7288856,Bathroom Accessory Sets,38.59,,0,0.0,0.0,,,SATUBROWN,0,,,,,,,,,,09/01/2022,10,9,0,
53,https://amazon.com/dp/B08Z7HPS5P,B08Z7HPS5P,ZANZAN Shower dispeners Walnut Wood Soap Dispenser with Stainless Steel Pump Head Manual Pump Dispenser 4-Piece Bathroom Set Counter Top 200ml/6.7oz soap Pump (Color : 1pcs soap Dispenser),ZANZAN,FBM,Home & Kitchen,8384345,Countertop Soap Dispensers,46.7,4.0,0,0.0,0.0,,,dianzan,1,,,,,,,,,,10/01/2021,22,7,1,
54,https://amazon.com/dp/B0B3WLBT8K,B0B3WLBT8K,"Soap Dispenser for Bathroom 300ML/500ML Liquid Soap Dispenser Bottle Set Bottle Shampoo Body Wash Shower Gel Bottle Outdoor Travel Tools Liquid Hand Soap Dispenser ( Capacity : 500ml , Color : A )",TOMYEUS,FBM,Home & Kitchen,7376206,Countertop Soap Dispensers,34.0,-4.0,0,0.0,0.0,,,Eivis,4,,,,,,,,,,-,8,6,6,
55,https://amazon.com/dp/B0B18KGMMD,B0B18KGMMD,"KSITEX Soap Dispenser Bathroom, Shampoo Dispenser for Shower Wall, Body Wash Dispenser Set 3 Chamber Black",KSITEX,FBA,Home & Kitchen,319172,Shower Dispensers,29.99,,50,-43.0,1499.5,112.0,3.7,KSITEX-US-SHOP,1,,,Large Standard-Size,3.31,7.8,8.9,2.12,91.75,319.14,10/01/2022,11,7,12,0.45
56,https://amazon.com/dp/B0B18G592M,B0B18G592M,"KSITEX Soap Dispenser Bathroom, Shampoo Dispenser for Shower Wall, Body Wash Dispenser Set 3 Chamber White",KSITEX,FBA,Home & Kitchen,303917,Shower Dispensers,31.99,,45,-59.0,1439.55,112.0,3.7,KSITEX-US-SHOP,1,,,Large Standard-Size,3.35,7.83,8.86,2.12,92.8,322.78,10/01/2022,10,7,16,0.4
57,https://amazon.com/dp/B08JYPZ3Z7,B08JYPZ3Z7,Bathroom Soap Dispenser Cup Abs Toothbrush Set 6 Pcs Bathroom Accessory Set Plastic Bin Soap Dish Dispenser Tumbler Toothbrush Holder Lotion Bottles/Toothbrush Holder/Tooth Mug/Soap Dish,GOTOTOP,FBM,Home & Kitchen,1664600,Bathroom Accessory Sets,32.69,50.0,1,-117.0,32.69,143.0,4.0,Cusco,1,15.0,-40.0,,,,,,,,07/01/2021,33,9,10,0.01
58,https://amazon.com/dp/B09PV8FJF2,B09PV8FJF2,"Bamboo Bathroom Accessories Set, Includes Bamboo Tray, Bamboo Soap Dispenser, Tumbler, Soap Dish",Satu Brown,FBA,Home & Kitchen,3974292,Soap Dishes,52.99,,0,-150.0,0.0,,,SATUBROWN,0,9.0,,,,,,,,,02/01/2023,17,9,0,
