"URL","ASIN","Title","Brand","Fulfillment","Category","BSR","Subcategory","Price","Price Trend (90 days) (%)","Monthly Sales","Sales Trend (90 days) (%)","Monthly Revenue","Review Count","Reviews Rating","Seller","Number of Active Sellers","Last Year Sales","Sales Year Over Year (%)","Size Tier","Length","Width","Height","Weight","Storage Fee (Jan - Sep)","Storage Fee (Oct - Dec)","Best Sales Period","Age (Month)","Number of Images","Variation Count","Sales to Reviews"
"https://amazon.com/dp/B082WGWW1M","B082WGWW1M","YBYB Soap Dispenser Square Soap Dispenser Hotel Kitchen Bathroom Dish soap Dispenser Bottle Shampoo Shower Gel Press Glass Lotion Bottle Set Lotion dispensers (Color : Purple)","YBYB","FBM","Home & Kitchen",7854893,"Countertop Soap Dispensers",32.64,"N/A",0,,0,"N/A","N/A","JINHEFU",1,"N/A","N/A","N/A",46.06,0.39,0.39,"N/A","N/A","N/A","-","-",6,0,"N/A"
"https://amazon.com/dp/B00I8PD8CQ","B00I8PD8CQ","Acrylic Twin Liquid Soap and Lotion Dispenser Set with Caddy - Double Soap Dispenser for Kitchen Sink - Clear Soap Dispenser for Bathroom, Shampoo, Conditioner, Body Wash","Huang Acrylic","FBA","Home & Kitchen",2473468,"Bath",42.99,7,0,0,0,33,3.6,"Authentic Discounts Inc.",1,2,-85,"Large Standard-Size",7.6,5.6,3,1.75,50.98,177.33,"06/01/2021",101,1,0,0
"https://amazon.com/dp/B0B6FLM3NS","B0B6FLM3NS","HvOvMvE 4 in 1 Dish Soap Dispenser Set and Mason Jar Soap and Lotion Dispenser Set (Black) for Kitchen Bathroom","HvOvMvE","FBA","Home & Kitchen",2824686,"Countertop Soap Dispensers",43.99,"N/A",2,233,87.98,"N/A","N/A","HvOvMvE",0,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","05/01/2023",11,9,0,"N/A"
"https://amazon.com/dp/B0BLBW2S9X","B0BLBW2S9X","Volisnova Glass Soap Dispenser Set with Concrete Tray - Farmhouse Bathroom & Kitchen Soap Dispenser - Hand Soap, Dish Soap, Lotion Dispenser with Waterproof Labels (Amber Bottles with Gold Pumps)","Volisnova","FBA","Home & Kitchen",711554,"Countertop Soap Dispensers",31.9,-5,20,-74,638,11,4.6,"Volisnova",1,"N/A","N/A","Large Standard-Size",4.57,8.78,11.85,3.13,189.86,660.38,"04/01/2023",4,7,5,1.82
"https://amazon.com/dp/B0BLCWT8FG","B0BLCWT8FG","Volisnova Glass Soap Dispenser Set with Concrete Tray - Farmhouse Bathroom & Kitchen Soap Dispenser - Hand Soap, Dish Soap, Lotion Dispenser with Waterproof Labels (Black Bottles with Gold Pumps)","Volisnova","FBM","Home & Kitchen",427100,"Countertop Soap Dispensers",31.9,-3,91,21,2902.9,15,4,"Volisnova",1,"N/A","N/A","Large Standard-Size",4.65,8.74,11.89,3.26,"N/A","N/A","05/01/2023",5,7,5,6.07
"https://amazon.com/dp/B0BLCRF1L3","B0BLCRF1L3","Volisnova Glass Soap Dispenser Set with Concrete Tray - Farmhouse Bathroom & Kitchen Soap Dispenser - Hand Soap, Dish Soap, Lotion Dispenser with Waterproof Labels (Amber Bottles with Black Pumps)","Volisnova","FBA","Home & Kitchen",682837,"Countertop Soap Dispensers",31.9,-5,20,-74,638,11,4.6,"Volisnova",1,"N/A","N/A","Large Standard-Size",4.61,8.78,11.73,3.15,189.58,659.42,"04/01/2023",5,7,5,1.82
"https://amazon.com/dp/B0BL7JR1K5","B0BL7JR1K5","Volisnova Glass Soap Dispenser Set with Concrete Tray - Farmhouse Bathroom & Kitchen Soap Dispenser - Hand Soap, Dish Soap, Lotion Dispenser with Waterproof Labels (White Bottles with Black Pumps)","Volisnova","FBA","Home & Kitchen",427100,"Countertop Soap Dispensers",31.9,-4,89,28,2839.1,15,4,"Volisnova",1,"N/A","N/A","Large Standard-Size",4.61,8.7,11.81,3.13,189.14,657.87,"05/01/2023",5,7,5,5.93
"https://amazon.com/dp/B0B6HVRCF7","B0B6HVRCF7","HvOvMvE 4 in 1 Dish Soap Dispenser Set and Mason Jar Soap and Lotion Dispenser Set （Silver） for Kitchen Bathroom","HvOvMvE","FBA","Home & Kitchen",2478417,"Countertop Soap Dispensers",42.99,"N/A",4,,171.96,"N/A","N/A","HvOvMvE",0,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","05/01/2023","-",9,0,"N/A"
"https://amazon.com/dp/B08YX5HKCS","B08YX5HKCS","Kitchen soap Dispenser Natural Marble Soap Dispenser Green Lotion Dispenser with Copper Pump Luxury Bathroom Accessories Bath Set for Bathroom 3.3oz soap Pump (Color : Tumbler)","WUHE","FBM","Home & Kitchen",6526534,"Countertop Soap Dispensers",65.65,"N/A",0,,0,"N/A","N/A","JIEJIEBOBO",1,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","-","-",7,0,"N/A"
"https://amazon.com/dp/B093R7TV3G","B093R7TV3G","BUYT Bathroom Soap Dispenser Set Soap Dispenser Bottles Ceramic Soap Dispenser for Bathroom Kitchen Countertop Durable Liquid Bottle with Silver Stainless Steel Pump (Color : Green)","BUYT","FBM","Home & Kitchen",8395207,"Countertop Soap Dispensers",36.99,"N/A",0,0,0,"N/A","N/A","junboyaojianshe",1,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","-",26,7,2,"N/A"
"https://amazon.com/dp/B0B96VM48G","B0B96VM48G","Soap Dispenser for Bathroom Mosaic Bathroom Accessories Set - 6 Pieces Ceramic Bath Accessory Sets Soap Dispenser Toothbrush Holder Mouthwash Cup Soap Dish and Tray, Gold Rim Kitchen Soap Dispenser","TOMYEUS","FBM","Home & Kitchen",6382791,"Countertop Soap Dispensers",131.25,"N/A",0,,0,"N/A","N/A","liujinegmg",1,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","04/01/2023","-",6,0,"N/A"
"https://amazon.com/dp/B0BNGC1MB6","B0BNGC1MB6","Soap Dispenser for Kitchen Precision Lever Ceramics Push Soap Pump Cute Cat Children's Bathroom Shower Gel Lotion Bottle Large Capacity Soap Dispenser 500ml/16.9 Ounce Bathroom Soap Dispenser Set ( Co","CIMONS","FBM","Home & Kitchen",7087808,"Countertop Soap Dispensers",31.95,"N/A",0,0,0,"N/A","N/A","Mona Department Store",1,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","-",7,6,0,"N/A"
"https://amazon.com/dp/B09DY8D9LR","B09DY8D9LR","3-Chamber Soap & Shampoo Shower Dispenser, 3x500ml Shampoo Conditioner Dispenser Wall-Mounted Liquid Soap Shower Dispenser Set for Bathroom Kitchen Hotel (Black)","DNYSYSJ","FBM","Home & Kitchen",4095802,"Shower Dispensers",39.89,1,0,0,0,2,5,"YBkagut",1,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","09/01/2021",22,8,2,0
"https://amazon.com/dp/B09DY732Q5","B09DY732Q5","3-Chamber Soap & Shampoo Shower Dispenser, 3x500ml Shampoo Conditioner Dispenser Wall-Mounted Liquid Soap Shower Dispenser Set for Bathroom Kitchen Hotel (White)","DNYSYSJ","FBM","Home & Kitchen",4094131,"Shower Dispensers",39.89,1,0,0,0,2,5,"YBkagut",1,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","-","-",7,2,0
"https://amazon.com/dp/B0BKFP4VMK","B0BKFP4VMK","BZOOSIU Hand Soap Dispenser with Tray, Gold Pump Bathroom and Kitchen Glass Soap Dispenser Set with Dish Soap, Hand Soap, Lotion Waterproof Label, Brown Bottle","BZOOSIU","FBA","Home & Kitchen",688030,"Countertop Soap Dispensers",32.79,"N/A",4,43,107.96,90,4.2,"Bzoosiu home",1,"N/A","N/A","Large Standard-Size",4.02,8.35,10,1.96,133.84,465.52,"06/01/2023",3,7,4,0.04
"https://amazon.com/dp/B08XPS83PJ","B08XPS83PJ","OMAIA Kitchen Soap Dispenser Set & Modern Refillable Pump Press Bottle","OMAIA","FBA","Home & Kitchen",3633886,"Countertop Soap Dispensers",34.99,"N/A",1,0,34.99,5,4.6,"OMAIA",0,1,-94,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","08/01/2021",28,9,0,0.2
"https://amazon.com/dp/B08TT5YDTV","B08TT5YDTV","Rail19 Black Label Basics Clear Glass Kitchen Dish Soap & Hand Soap Dispenser Set, 16oz","Rail19","FBM","Home & Kitchen",4441111,"Countertop Soap Dispensers",34.5,"N/A",0,0,0,"N/A","N/A","Rail19",1,1,"N/A","Large Standard-Size",10,7,4.75,15,"N/A","N/A","03/01/2023",27,6,2,"N/A"
